City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hasaki,JP,91.29,overcast clouds,35.7333,140.8333,Kamisu
13,Rikitea,PF,74.52,overcast clouds,-23.1203,-134.9692,Rikitea
15,Victoria,HK,92.03,overcast clouds,22.2855,114.1577,Hong Kong
17,Bethel,US,74.77,overcast clouds,41.3712,-73.414,Danbury
18,Touros,BR,74.3,few clouds,-5.1989,-35.4608,Touros
19,Kapaa,US,82.72,light rain,22.0752,-159.319,Kapaʻa
21,Horta,PT,71.2,broken clouds,38.5333,-28.6333,Horta
22,Biak,ID,83.37,broken clouds,-0.9131,122.8766,CV. Karya Alam Perkasa
23,Kahului,US,81.66,scattered clouds,20.8947,-156.47,Kahului
24,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Klouklubed
28,Tual,ID,80.98,overcast clouds,-5.6667,132.75,Tual
32,Brewster,US,75.0,overcast clouds,41.3973,-73.6171,Carmel Hamlet
34,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Ribeira Brava
36,Samarai,PG,79.18,moderate rain,-10.6167,150.6667,Sidudu
37,Gat,IL,77.68,clear sky,31.61,34.7642,Kiryat Gat
39,Arraial Do Cabo,BR,70.09,clear sky,-22.9661,-42.0278,Arraial do Cabo
41,Airai,TL,76.75,broken clouds,-8.9266,125.4092,Atsabe
44,Awjilah,LY,78.48,clear sky,29.1081,21.2869,Awjilah
47,Shenjiamen,CN,80.49,overcast clouds,29.9576,122.298,Zhoushan
49,Lorengau,PG,84.99,clear sky,-2.0226,147.2712,Lorengau
52,Imeni Poliny Osipenko,RU,79.86,overcast clouds,52.4201,136.4853,Imeni Poliny Osipenko
53,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Sola
54,Tura,IN,82.74,overcast clouds,25.5198,90.2201,Tura
55,Westport,US,78.98,scattered clouds,41.1415,-73.3579,Norwalk
59,Honiara,SB,83.57,overcast clouds,-9.4333,159.95,Honiara
61,Pemberton,CA,75.06,clear sky,50.3164,-122.8027,Pemberton
62,Atuona,PF,77.95,clear sky,-9.8,-139.0333,Atuona
63,Puerto Ayora,EC,71.24,few clouds,-0.7393,-90.3518,Puerto Ayora
64,Bonthe,SL,76.51,overcast clouds,7.5264,-12.505,Bonthe
68,Talavera,PH,86.54,heavy intensity rain,15.6167,120.9333,Talavera
69,Bartica,GY,77.32,broken clouds,6.4,-58.6167,Bartica
71,Ishigaki,JP,87.93,broken clouds,24.3448,124.1572,Ishigaki
73,Manokwari,ID,84.42,overcast clouds,-0.8667,134.0833,Manokwari
78,Dayong,CN,92.88,light rain,25.0209,118.2898,Quanzhou
80,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Cabo San Lucas
82,Zhaodong,CN,82.42,overcast clouds,46.0833,125.9833,Suihua
83,Bardiyah,LY,77.09,clear sky,31.7561,25.0865,Bardiyah
84,Dawei,MM,83.07,light rain,14.0833,98.2,Dawei
86,Poya,NC,74.25,clear sky,-21.35,165.15,Poya
89,Fortuna,US,74.48,scattered clouds,40.5982,-124.1573,Fortuna
90,Itarema,BR,77.31,few clouds,-2.9248,-39.9167,Itarema
92,Butaritari,KI,81.66,overcast clouds,3.0707,172.7902,Ukiangang
93,Jiayuguan,CN,86.72,scattered clouds,39.8167,98.3,Jiayuguan City
94,Poum,NC,72.55,clear sky,-20.2333,164.0167,Poum
96,Vostok,RU,87.76,broken clouds,46.4856,135.8833,Vostok
97,Tymovskoye,RU,90.34,scattered clouds,50.8456,142.655,Tymovskoye
98,Belmonte,BR,70.3,clear sky,-15.8631,-38.8828,Belmonte
99,Labuhan,ID,86.76,clear sky,-6.8844,112.2051,Musholla Babut Taubat
102,Asau,RO,70.39,few clouds,46.4333,26.4,Comănești
103,Hilo,US,80.33,moderate rain,19.7297,-155.09,Hilo
107,Noumea,NC,77.0,few clouds,-22.2763,166.4572,Nouméa
108,Pasighat,IN,90.84,broken clouds,28.0667,95.3333,Nyingchi
110,Nilanga,IN,76.42,overcast clouds,18.1,76.7667,Nilanga
112,Port Macquarie,AU,77.9,clear sky,-31.4333,152.9167,Port Macquarie
113,Verkhnevilyuysk,RU,78.39,few clouds,63.4453,120.3167,Verkhneviliuisk
117,Dabola,GN,71.56,overcast clouds,10.75,-11.1167,Dabola
121,Cockburn Town,TC,81.66,scattered clouds,21.4612,-71.1419,Cockburn Town
126,Padang,ID,84.02,overcast clouds,-0.9492,100.3543,Padang
131,Katsuura,JP,87.91,moderate rain,35.1333,140.3,Katsuura
133,San Patricio,US,84.83,few clouds,28.017,-97.5169,Sinton
134,Shahi,IN,85.3,overcast clouds,28.55,79.3167,Shahi
135,Valverde Del Camino,ES,71.44,clear sky,37.5751,-6.7543,Valverde del Camino
137,Aksu,CN,94.5,overcast clouds,41.1231,80.2644,Aksu Prefecture
140,Kavieng,PG,84.09,light rain,-2.5744,150.7967,Kaewieng
141,Kinablangan,PH,88.34,broken clouds,7.6947,126.5503,Baganga
142,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Cayenne
143,Lipari,IT,81.09,clear sky,38.4674,14.954,Lipari
144,Xinqing,CN,88.27,light rain,48.2333,129.5,Yichun
146,Nemuro,JP,86.43,few clouds,43.3236,145.575,Nemuro
148,Kalmunai,LK,87.13,overcast clouds,7.4167,81.8167,Kalmunai
150,Isperih,BG,70.99,clear sky,43.7167,26.8333,Isperih
153,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Avarua District
154,Bhadasar,IN,84.7,overcast clouds,28.2833,74.3167,Bhadasar Utrada
158,Yumen,CN,88.02,clear sky,40.2833,97.2,Jiuquan
159,Hithadhoo,MV,80.74,broken clouds,-0.6,73.0833,Addu City
162,Namatanai,PG,84.76,scattered clouds,-3.6667,152.4333,Namatanai
165,Amnat Charoen,TH,88.41,overcast clouds,15.9167,104.75,Khuem Yai
166,Ulladulla,AU,71.87,broken clouds,-35.35,150.4667,Ulladulla
170,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Isangel
171,Saint George,US,91.63,clear sky,37.1041,-113.5841,St. George
172,Vaitape,PF,77.4,light rain,-16.5167,-151.75,Vaitape
174,Alice Springs,AU,74.75,overcast clouds,-23.7,133.8833,Alice Springs
180,West Wendover,US,87.01,clear sky,40.7391,-114.0733,Wendover
181,Paracelis,PH,87.66,moderate rain,17.2667,121.4667,Tabuk
184,Seoul,KR,93.61,scattered clouds,37.5683,126.9778,Seoul
186,Brainerd,US,79.05,clear sky,46.358,-94.2008,Brainerd
187,Derzhavinsk,KZ,71.98,clear sky,51.1,66.3167,Derzhavinsk
188,Meulaboh,ID,84.49,scattered clouds,4.1363,96.1285,Meulaboh
189,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Mindelo
191,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Sabanilla Montecarmelo
192,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Wilson Hill
193,Gizo,SB,83.52,light rain,-8.103,156.8419,Gizo
194,Kieta,PG,83.55,light rain,-6.2167,155.6333,Kieta
197,Portland,US,84.2,scattered clouds,45.5234,-122.6762,Portland
198,Mangrol,IN,82.26,overcast clouds,21.1167,70.1167,Mangrol
199,Cabra,ES,75.9,clear sky,37.4725,-4.4421,Cabra
201,Gamba,GA,72.45,overcast clouds,-2.65,10.0,Foundou
203,Bintulu,MY,90.01,scattered clouds,3.1667,113.0333,Bintulu
207,Eirunepe,BR,75.31,broken clouds,-6.6603,-69.8736,Eirunepé
208,Qadian,IN,77.29,heavy intensity rain,31.8178,75.3919,Qadian
209,Sao Filipe,CV,73.83,clear sky,14.8961,-24.4956,Sao Filipe
216,East Hemet,US,93.52,scattered clouds,33.74,-116.9389,Hemet
217,Marang,MY,87.71,broken clouds,5.2056,103.2059,Kuala Terengganu
222,Ribeira Grande,PT,72.01,broken clouds,38.5167,-28.7,Horta
224,Stony Plain,CA,71.58,clear sky,53.5334,-114.0021,Spruce Grove
225,Asheville,US,73.17,few clouds,35.6009,-82.554,Asheville
226,Koutsouras,GR,79.36,clear sky,35.0339,25.9469,Makry Gialos
227,Balad,IQ,94.6,clear sky,34.0164,44.1453,Ishaqi
228,Port-Gentil,GA,75.31,scattered clouds,-0.7193,8.7815,Port-Gentil
229,Taiyuan,CN,76.86,few clouds,37.8694,112.5603,Taiyuan
230,Nalut,LY,74.8,clear sky,30.3333,10.85,
232,Luganville,VU,78.51,broken clouds,-15.5333,167.1667,Luganville
233,Atar,MR,84.24,few clouds,20.5169,-13.0499,Atar
234,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Tautira
238,Yonago,JP,85.93,scattered clouds,35.4333,133.3333,Yonago
240,Sokolo,ML,82.18,overcast clouds,14.7328,-6.1219,Sokolo
241,Beatrice,US,84.0,clear sky,40.2681,-96.747,Beatrice
243,Murindo,CO,74.32,overcast clouds,6.9848,-76.7544,Modern Flovored Dress
244,Tevaitoa,PF,77.27,light rain,-16.7833,-151.5,Uturoa
247,Hangal,IN,74.39,overcast clouds,14.7667,75.1333,Hangal
248,Faanui,PF,77.81,light rain,-16.4833,-151.75,Vaitape
249,Tayu,ID,86.59,few clouds,-6.5397,111.0518,Taju
250,Tarbagatay,RU,74.73,few clouds,51.4803,107.3602,Tarbagatay
251,Khatanga,RU,87.49,clear sky,71.9667,102.5,Chatanga
252,Japura,ID,89.53,broken clouds,-0.3167,102.35,Djapoera
253,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Alofi
254,Luang Prabang,LA,85.96,broken clouds,19.8856,102.1347,Luang Prabang
255,Half Moon Bay,US,77.63,few clouds,37.4636,-122.4286,Half Moon Bay
256,Auki,SB,85.46,broken clouds,-8.7676,160.7034,Auki
257,Soyo,AO,72.82,overcast clouds,-6.1349,12.3689,Soyo
260,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Teluk Ambon
264,Panguna,PG,77.31,light rain,-6.3164,155.4848,Panguna
266,Kungurtug,RU,70.57,scattered clouds,50.5994,97.5228,Kungurtug
271,Russell,US,76.23,scattered clouds,32.3502,-85.1999,Russell County High School
280,Galle,LK,81.41,overcast clouds,6.0367,80.217,Galle
281,Jalu,LY,78.96,clear sky,29.0331,21.5482,Jalu
282,Kidal,ML,83.16,broken clouds,18.4411,1.4078,Kidal
284,Kijang,KR,91.13,scattered clouds,35.2442,129.2139,Busan
286,Najran,SA,81.25,few clouds,17.4924,44.1277,Najran
287,Mayumba,GA,72.7,overcast clouds,-3.432,10.6554,Mayumba
289,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,Salalah
290,Rostovka,RU,70.2,broken clouds,55.3842,71.8891,Rostovka
291,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,Denpasar
292,Bougouni,ML,73.63,moderate rain,11.417,-7.479,Bougouni
295,Kurilsk,RU,72.54,clear sky,45.2333,147.8833,Kurilsk
298,Mahdasht,IR,84.42,few clouds,35.7299,50.8111,Mahdasht
300,Carutapera,BR,77.11,overcast clouds,-1.195,-46.02,Carutapera
301,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,Mount Isa
303,Altamira,BR,72.23,clear sky,-3.2033,-52.2064,Altamira
304,Mathbaria,BD,79.12,overcast clouds,22.2876,89.9593,Mathbaria
307,Destin,US,82.02,broken clouds,30.3935,-86.4958,Destin
309,Meadow Lake,US,73.11,overcast clouds,34.8014,-106.5436,Meadow Lake
310,Palasa,IN,88.34,overcast clouds,18.7667,84.4167,Palasa at Kasibugga
311,Bozdar,PK,86.07,overcast clouds,27.1828,68.636,Bozdar Wada
312,Jilib,SO,74.89,overcast clouds,0.4883,42.7854,Jilib
313,Ati,TD,74.01,overcast clouds,13.2154,18.3353,Ati
315,Alugan,PH,92.34,overcast clouds,12.2188,125.4808,San Policarpo
317,Arlit,NE,83.25,broken clouds,18.7369,7.3853,Arlit
318,Flinders,AU,76.21,broken clouds,-34.5833,150.8552,Wollongong
319,Amahai,ID,82.49,broken clouds,-3.3333,128.9167,Amahai
320,Minas De Barroteran,MX,87.69,overcast clouds,27.6333,-101.2833,Minas de Barroterán
326,Matara,LK,82.36,overcast clouds,5.9485,80.5353,Matara
327,Tabou,CI,76.33,overcast clouds,4.423,-7.3528,Tabou
328,Sabang,ID,83.35,overcast clouds,5.8933,95.3214,Sabang
329,Kapoeta,SS,71.17,light rain,4.7717,33.5903,Kapoeta
331,Mecca,SA,81.05,overcast clouds,21.4267,39.8261,Mecca
332,Catuday,PH,82.09,moderate rain,16.2923,119.8062,Bolinao
334,Wuwei,CN,87.71,clear sky,37.9281,102.6414,Wuwei
338,Dzhebariki-Khaya,RU,71.91,scattered clouds,62.2167,135.8,Dzhebariki-Khaya
340,Angoram,PG,87.06,scattered clouds,-4.0625,144.0661,Angoram
346,Ahuimanu,US,87.51,light rain,21.4447,-157.8378,Honolulu
347,Darab,IR,90.61,overcast clouds,28.7519,54.5444,Darab
351,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,San Andrés
353,Ust-Maya,RU,76.21,few clouds,60.4167,134.5333,Resurs
355,Nanakuli,US,87.75,scattered clouds,21.3906,-158.1547,Nānākuli
356,Teluknaga,ID,86.18,broken clouds,-6.0989,106.6381,Tangerang
357,Braganca,BR,73.69,broken clouds,-1.0536,-46.7656,Bragança
358,Pisticci,IT,79.83,clear sky,40.3906,16.5568,Pisticci
359,Trincomalee,LK,85.23,overcast clouds,8.5711,81.2335,Trincomalee
360,Malakal,SS,70.02,overcast clouds,9.5334,31.6605,Malakal
362,Bengkulu,ID,84.42,broken clouds,-3.8004,102.2655,Bengkulu
363,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Vila Velha
364,Key West,US,87.8,clear sky,24.5557,-81.7826,Key West
365,Sokoni,TZ,73.26,clear sky,-6.4333,39.55,Makunduchi
367,Pundaguitan,PH,84.94,broken clouds,6.3711,126.1689,Mati
368,Aykhal,RU,85.53,scattered clouds,66.0,111.5,Aikhal
